Borough,Market Name ,Street Address,Day(s),Hours,Distribute Health Bucks,Accepts Health Bucks,EBT,Stellar
Queens,Socrates Sculpture Park Greenmarket,Vernon Blvd & Broadway,Saturday,8am-4pm,1,1,1,0
Bronx,Harvest Home Mt. Eden Farmers' Market,"Mt. Eden & Morris Aves, at Claremont Park",Thursday,8am-4pm,1,1,1,0
Queens,Jamaica Farmers Market,"90-40 160th St, off Jamaica Ave",Friday & Saturday ,8:30am-4pm,1,1,1,0
Brooklyn,Brooklyn Borough Hall Greenmarket,Court & Montague Sts,"Tuesday, Thursday & Saturday",8am-3pm,1,1,1,0
Staten Island,St. George Greenmarket,"St. Marks Pl at Hyatt St, inside Borough Hall parking lot",Saturday,8am-2pm,1,1,1,0
Bronx,Mott Haven Farmers' Market ,"139th St & St. Ann's Ave, at Padre Plaza Success Garden",Wednesday ,9am- 5pm,1,1,1,1
Manhattan,Harvest Home West Harlem Farmers' Market,137th St & Broadway,Tuesday,8am-4pm,1,1,1,0
Manhattan,Harlem Harvest Farmers' Market,W 112th St & Madison Ave,Tuesday & Saturday ,8am-5pm,1,1,1,0
Staten Island,Staten Island Mall Greenmarket,"Richmond Ave entrance, inside parking lot",Saturday,9am-4pm,1,1,1,0
Brooklyn,High School for Public Service Youth Farmers' Market,600 Kingston Ave bet Rutland Rd & Winthrop St,Wednesday,2:30pm-6:30pm,1,1,1,0
